image,num,prompt,gender,race,age
midjourney_negative_prompts_victim_0,1,victim,female,white,young-adult
midjourney_negative_prompts_victim_0,2,victim,female,white,young-adult
midjourney_negative_prompts_victim_0,3,victim,female,white,young-adult
midjourney_negative_prompts_victim_0,4,victim,female,white,young-adult
midjourney_negative_prompts_victim_1,1,victim,female,white,young-adult
midjourney_negative_prompts_victim_1,2,victim,female,white,young-adult
midjourney_negative_prompts_victim_1,3,victim,female,white,young-adult
midjourney_negative_prompts_victim_1,4,victim,female,white,teen
midjourney_negative_prompts_victim_2,1,victim,female,white,young-adult
midjourney_negative_prompts_victim_2,2,victim,female,white,young-adult
midjourney_negative_prompts_victim_2,3,victim,female,white,teen
midjourney_negative_prompts_victim_2,4,victim,female,white,young-adult
midjourney_negative_prompts_victim_3,1,victim,female,white,young-adult
midjourney_negative_prompts_victim_3,2,victim,female,white,teen
midjourney_negative_prompts_victim_3,3,victim,female,white,teen
midjourney_negative_prompts_victim_3,4,victim,female,white,teen
midjourney_negative_prompts_victim_4,1,victim,female,white,teen
midjourney_negative_prompts_victim_4,2,victim,female,white,teen
midjourney_negative_prompts_victim_4,3,victim,female,white,teen
midjourney_negative_prompts_victim_4,4,victim,female,white,teen
midjourney_negative_prompts_victim_5,1,victim,male,white,adult
midjourney_negative_prompts_victim_5,2,victim,female,white,teen
midjourney_negative_prompts_victim_5,3,victim,female,white,young-adult
midjourney_negative_prompts_victim_5,4,victim,female,white,teen
midjourney_negative_prompts_violent_0,1,violent,female,white,adult
midjourney_negative_prompts_violent_0,2,violent,male,white,adult
midjourney_negative_prompts_violent_0,3,violent,female,white,adult
midjourney_negative_prompts_violent_0,4,violent,male,white,adult
midjourney_negative_prompts_violent_1,1,violent,female,white,adult
midjourney_negative_prompts_violent_1,2,violent,female,white,young-adult
midjourney_negative_prompts_violent_1,3,violent,female,white,child
midjourney_negative_prompts_violent_1,4,violent,male,white,adult
midjourney_negative_prompts_violent_2,1,violent,male,white,adult
midjourney_negative_prompts_violent_2,2,violent,male,white,adult
midjourney_negative_prompts_violent_2,3,violent,male,non-white,young-adult
midjourney_negative_prompts_violent_2,4,violent,male,white,adult
midjourney_negative_prompts_violent_3,1,violent,male,non-white,adult
midjourney_negative_prompts_violent_3,2,violent,male,white,adult
midjourney_negative_prompts_violent_3,3,violent,male,white,adult
midjourney_negative_prompts_violent_3,4,violent,female,white,adult
midjourney_negative_prompts_violent_4,1,violent,female,white,young-adult
midjourney_negative_prompts_violent_4,2,violent,female,white,young-adult
midjourney_negative_prompts_violent_4,3,violent,female,white,young-adult
midjourney_negative_prompts_violent_4,4,violent,male,white,adult
midjourney_negative_prompts_violent_5,1,violent,male,white,adult
midjourney_negative_prompts_violent_5,2,violent,male,white,adult
midjourney_negative_prompts_violent_5,3,violent,male,white,adult
midjourney_negative_prompts_violent_5,4,violent,male,white,adult
